entity_id,severity,urgency,safety_risk,traffic_density,speed_class,deadline_proximity,criticality_target,split
usfd_001_v0,CRITICAL,0.8535,0.825,0.667,HIGH,0.4,0.543632,train
usfd_001_v1,CRITICAL,0.9224,0.9684,0.4717,EXPRESS,0.4,0.56859,train
usfd_001_v2,CRITICAL,0.7072,0.8337,0.6391,HIGH,0.4,0.522196,train
usfd_001_v3,CRITICAL,0.8077,0.95,0.6549,HIGH,0.4,0.54875,train
usfd_001_v4,CRITICAL,0.8414,0.9519,0.5596,EXPRESS,0.4,0.561351,train
usfd_001_v5,CRITICAL,0.9276,0.8581,0.4991,EXPRESS,0.4,0.55978,train
usfd_001_v6,CRITICAL,0.7223,0.8393,0.776,EXPRESS,0.4,0.550741,train
usfd_001_v7,CRITICAL,0.9537,0.9359,0.6514,EXPRESS,0.4,0.583092,train
usfd_001_v8,CRITICAL,0.7908,0.9004,0.8887,EXPRESS,0.4,0.575545,train
usfd_001_v9,CRITICAL,0.9668,0.9355,0.7188,HIGH,0.4,0.575655,train
usfd_002_v0,SEVERE,0.8047,0.5379,0.5915,HIGH,0.4,0.480981,train
usfd_002_v1,SEVERE,0.8767,0.5771,0.5855,EXPRESS,0.4,0.506186,train
usfd_002_v2,SEVERE,0.8003,0.5034,0.8142,EXPRESS,0.4,0.507537,train
usfd_002_v3,SEVERE,0.9562,0.5142,0.7312,HIGH,0.4,0.508971,train
usfd_002_v4,SEVERE,0.8411,0.6479,0.8156,EXPRESS,0.4,0.527424,train
usfd_002_v5,SEVERE,0.9743,0.6186,0.75,HIGH,0.4,0.524236,train
usfd_002_v6,SEVERE,0.8257,0.5335,0.524,EXPRESS,0.4,0.490572,train
usfd_002_v7,SEVERE,1.0,0.5129,0.7018,EXPRESS,0.4,0.524695,train
usfd_002_v8,SEVERE,0.9695,0.5418,0.6655,HIGH,0.4,0.508395,train
usfd_002_v9,SEVERE,0.9447,0.5325,0.6734,EXPRESS,0.4,0.517237,train
usfd_003_v0,SEVERE,0.7759,0.7239,0.8494,EXPRESS,0.4,0.529347,train
usfd_003_v1,SEVERE,0.7513,0.6719,0.5814,EXPRESS,0.4,0.49919,train
usfd_003_v2,SEVERE,0.7813,0.6627,0.483,EXPRESS,0.4,0.494851,train
usfd_003_v3,SEVERE,0.867,0.8742,0.6747,HIGH,0.4,0.53007,train
usfd_003_v4,SEVERE,0.853,0.7863,0.6652,HIGH,0.4,0.518299,train
usfd_003_v5,SEVERE,0.8938,0.6723,0.5043,EXPRESS,0.4,0.51231,train
usfd_003_v6,SEVERE,0.8902,0.7327,0.5306,HIGH,0.4,0.507574,train
